Division,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,when,location,track,championship
1.0,WildRunners dreamers,WildRunners Maximini,17.01,L,25.0,Sunny,-0.24,4.21,Dixie,0.3,4.24,Alex,0.16,4.22,Hector,0,4.13,2023-04-22 10:11:57,Heroltice,4,cz
1.0,WildRunners Maximini,WildRunners dreamers,19.43,L,25.0,Brooke,-0.11,4.08,Rocky,1.29,5.15,Bella,0.23,4.52,Bree,0,4.28,2023-04-22 10:11:57,Heroltice,5,cz
1.0,WildRunners dreamers,WildRunners Maximini,17.42,W,25.0,Sunny,0.02,4.25,Dixie,0.15,4.23,Alex,0.34,4.25,Hector,0,4.18,2023-04-22 10:13:25,Heroltice,4,cz
1.0,WildRunners Maximini,WildRunners dreamers,18.59,L,25.0,Brooke,-0.63,4.25,Rocky,0.79,5.5,Bella,0.16,4.56,Bree,-0.33,4.28,2023-04-22 10:13:25,Heroltice,5,cz
1.0,WildRunners dreamers,WildRunners Maximini,16.73,W,25.0,Sunny,-0.06,4.21,Dixie,-0.19,4.29,Alex,0.12,4.27,Hector,error,4.08,2023-04-22 10:15:06,Heroltice,4,cz
1.0,WildRunners Maximini,WildRunners dreamers,18.01,L,25.0,Brooke,-0.59,4.28,Rocky,0.54,5.16,Bella,error,4.57,Bree,-0.17,4.22,2023-04-22 10:15:06,Heroltice,5,cz
1.0,WildRunners hopefuls,FOFR DOG,16.14,L,27.5,Enola,0.2,3.87,Maggie,0.13,3.97,Tyna,error,4.1,Moon,error,3.87,2023-04-22 10:37:19,Heroltice,4,cz
1.0,FOFR DOG,WildRunners hopefuls,18.43,L,22.5,Hessie,-0.06,4.76,Dizzy,0,4.41,Tex,0.32,3.85,Ogi,0.36,4.78,2023-04-22 10:37:19,Heroltice,5,cz
1.0,WildRunners hopefuls,FOFR DOG,16.27,L,27.5,Enola,0.12,3.93,Maggie,0.16,4,Tyna,0.12,4.08,Moon,error,3.87,2023-04-22 10:38:44,Heroltice,4,cz
1.0,FOFR DOG,WildRunners hopefuls,18.43,W,22.5,Hessie,0.28,4.69,Dizzy,0,4.42,Tex,0.46,3.83,Ogi,0,4.75,2023-04-22 10:38:44,Heroltice,5,cz
1.0,WildRunners hopefuls,FOFR DOG,16.24,L,27.5,Enola,0.13,3.89,Maggie,error,4.02,Tyna,0,4.11,Moon,0.2,3.91,2023-04-22 10:40:15,Heroltice,4,cz
1.0,FOFR DOG,WildRunners hopefuls,27.51,W,22.5,Hessie,0.43,4.72,Dizzy,0,4.41,Tex,0.31,3.92,Ogi,0.18,4.72,2023-04-22 10:40:15,Heroltice,5,cz
2.0,FOFR DOG future,WildRunners XXL,32.79,W,22.5,Ela,0.15,4.19,Lenny,error,4.88,Elli,0.42,4.91,Sigy,0.77,5.14,2023-04-22 10:49:45,Heroltice,4,cz
